2026-01-09 01:14:58.120844 | Samples: 40 | Loss: 0.1733 | LR: 4.08e-05
2026-01-09 01:15:54.484370 | Samples: 40 | Loss: 0.1989 | LR: 4.08e-05
2026-01-09 01:16:46.116474 | Samples: 40 | Loss: 0.2020 | LR: 4.07e-05
2026-01-09 01:17:36.262226 | Samples: 40 | Loss: 0.1595 | LR: 4.06e-05
2026-01-09 01:18:31.368624 | Samples: 40 | Loss: 0.1607 | LR: 4.06e-05
2026-01-09 01:20:54.099921 | Samples: 40 | Loss: 0.1916 | LR: 4.05e-05
2026-01-09 01:21:47.446939 | Samples: 40 | Loss: 0.1583 | LR: 4.05e-05
2026-01-09 01:22:48.078191 | Samples: 40 | Loss: 0.1600 | LR: 4.04e-05
2026-01-09 01:23:40.209315 | Samples: 40 | Loss: 0.1598 | LR: 4.03e-05
2026-01-09 01:24:32.037394 | Samples: 40 | Loss: 0.1546 | LR: 4.03e-05
2026-01-09 01:26:35.075950 | Samples: 40 | Loss: 0.1643 | LR: 4.02e-05
2026-01-09 01:27:35.272444 | Samples: 40 | Loss: 0.1714 | LR: 4.01e-05
